Wavenumber (cm^-1),0M,0.6M,0.8M,1M,1.2M,1.4M,1.8M
457.0541,-0.003222428,0.013880797,0.030741499,0.021420981,0.029198321,0.035795138,0.037423831
457.5363,-0.00600164,0.007270078,0.023402724,0.016905301,0.020535519,0.03240369,0.033196959
458.0184,-0.010190301,-5.45E-05,0.01579386,0.012228862,0.011483115,0.028818506,0.029715896
458.5005,-0.016057994,-0.008125052,0.00795003,0.006925085,0.00246406,0.024293978,0.026437174
458.9826,-0.023374321,-0.016602837,0.000180977,0.000825324,-0.00580672,0.018554789,0.022954788
459.4648,-0.031379309,-0.024745823,-0.006925755,-0.005806222,-0.012414603,0.011946321,0.019186365
459.9469,-0.038941201,-0.03155514,-0.012632206,-0.012299638,-0.016460439,0.005343233,0.015423512
460.429,-0.044856577,-0.036053398,-0.016277607,-0.017775763,-0.01734345,-0.000163806,0.012231955
460.9111,-0.048175872,-0.037567509,-0.017492805,-0.021418821,-0.014975719,-0.003648882,0.010226504
461.3933,-0.048432445,-0.035901689,-0.016318043,-0.022714995,-0.009843038,-0.004641096,0.009836587
461.8754,-0.045685718,-0.031321798,-0.013150086,-0.021546275,-0.002850242,-0.003202269,0.011161772
462.3575,-0.040408952,-0.024402771,-0.008583914,-0.018147036,0.004959703,0.000193412,0.013972982
462.8396,-0.033302044,-0.015841376,-0.00322485,-0.012972898,0.012694106,0.004878567,0.01782925
463.3218,-0.025137479,-0.006341672,0.002402112,-0.006590529,0.019746577,0.010175017,0.022221308
