Wavenumber (cm^-1),0M,0.6M,0.8M,1M,1.2M,1.4M,1.8M
758.382,0.029115561,0.046632647,0.052279171,0.060567696,0.060290922,0.073262023,0.088072494
758.8641,0.031551415,0.048352805,0.053788116,0.063020216,0.062071895,0.076204108,0.090884521
759.3462,0.034252515,0.050442782,0.055651539,0.065668121,0.064203655,0.079228942,0.094025604
759.8284,0.037182891,0.052885245,0.057913957,0.068468956,0.066670635,0.082244677,0.097442841
760.3105,0.040297764,0.055639661,0.060571151,0.071374709,0.06940818,0.085202245,0.101036067
760.7926,0.043542145,0.058648951,0.063581209,0.074355091,0.072326038,0.08811363,0.104687835
761.2747,0.046860928,0.06184965,0.066886402,0.077419173,0.075341186,0.091051744,0.108302038
761.7568,0.05021813,0.065189655,0.070438971,0.080626503,0.078414336,0.094137332,0.111842961
762.239,0.053624216,0.068651515,0.074222157,0.084083027,0.08157357,0.097516689,0.115355265
762.7211,0.057163845,0.072277062,0.078264508,0.087926942,0.084918762,0.101340358,0.118966759
763.2032,0.061007984,0.076182608,0.082640929,0.092305401,0.088604904,0.105744597,0.122868789
763.6854,0.065407311,0.080557541,0.087468906,0.097355482,0.092809107,0.11084145,0.127284207
764.1675,0.070660964,0.085642208,0.092894524,0.103194248,0.097696655,0.116715483,0.132432421
764.6496,0.077070803,0.091688622,0.099078879,0.109919466,0.103394889,0.123427177,0.138502398
765.1317,0.084893743,0.098919854,0.106183826,0.117622508,0.109987751,0.131020521,0.145641112
765.6139,0.094307484,0.107498376,0.114359586,0.126401922,0.117527816,0.139536532,0.153955895
766.0959,0.105399888,0.117518485,0.123735612,0.136375006,0.126059757,0.149025387,0.163529109
766.5781,0.118181964,0.129020278,0.134413433,0.147677655,0.13564164,0.159560526,0.174434521
767.0602,0.13261337,0.142014347,0.146460099,0.160448812,0.146350437,0.171243683,0.186744876
767.5424,0.148628076,0.156502228,0.159904408,0.174807735,0.158270307,0.184201597,0.200531327
768.0245,0.166142438,0.172476027,0.174730898,0.190819379,0.171463629,0.198570334,0.215849683
768.5066,0.185038896,0.189893261,0.190878757,0.20846475,0.185940829,0.214467257,0.232723647
768.9887,0.205128363,0.208631764,0.208239478,0.227616585,0.201636891,0.231956581,0.251131348
769.4708,0.226099239,0.228442275,0.226656835,0.248029325,0.218407761,0.251014292,0.270998034
769.953,0.247471874,0.248918162,0.245921661,0.269337215,0.236039146,0.27149473,0.292193426
770.4351,0.268574592,0.269499427,0.265759697,0.291068944,0.254267583,0.29310932,0.314528009
770.9172,0.288557341,0.289514403,0.285809649,0.312667722,0.272794133,0.315416121,0.337738935
771.3994,0.306449182,0.308251581,0.305599558,0.333517956,0.291286507,0.337827252,0.361465948
771.8815,0.321261937,0.325041624,0.324530897,0.352977622,0.309369446,0.359636426,0.385220424
772.3636,0.332118802,0.339319259,0.341890033,0.370413529,0.32661396,0.380074253,0.408376392
772.8457,0.338381369,0.350655543,0.356900063,0.385236824,0.342541471,0.39838415,0.43019548
773.3279,0.339739208,0.358751072,0.368821088,0.396941617,0.356659779,0.413914571,0.449910472
773.8099,0.336235725,0.363419336,0.377072201,0.405135732,0.368523019,0.426205139,0.466848728
774.2921,0.328235642,0.364579395,0.381346892,0.409577633,0.377806204,0.435042576,0.480561712
774.7742,0.316353587,0.362280663,0.381677538,0.410212622,0.384363663,0.440478943,0.490906933
775.2563,0.301371154,0.35674376,0.378431565,0.407212114,0.388252142,0.442806673,0.498047375
775.7385,0.284162539,0.348394084,0.372237382,0.400995552,0.389710593,0.442499602,0.502372116
776.2206,0.265625427,0.337853156,0.363871599,0.392217708,0.389112696,0.440142038,0.504370663
776.7028,0.246617748,0.3258761,0.354139123,0.381702841,0.386901085,0.436347532,0.504517049
777.1848,0.227898639,0.313249371,0.343769527,0.370332679,0.383528383,0.431682224,0.50319136
777.667,0.210081824,0.300685552,0.333350811,0.358914616,0.379410601,0.426599212,0.500656056
778.149,0.193608622,0.288743457,0.32330023,0.348066264,0.374892526,0.421392543,0.497066104
778.6312,0.178748918,0.277795558,0.313869235,0.338149726,0.370225674,0.416178331,0.492493939
779.1133,0.165627834,0.268038729,0.30517774,0.329267638,0.365555623,0.410909285,0.486955925
779.5955,0.15427059,0.259536292,0.297257215,0.321317008,0.360919741,0.405418969,0.480424204
780.0776,0.144650365,0.252263336,0.290095495,0.31407842,0.356258132,0.399488478,0.472840903
780.5597,0.136732093,0.246149149,0.28366878,0.307314615,0.351441261,0.392917739,0.464136007
781.0419,0.130500883,0.241102265,0.277958063,0.300848167,0.34631641,0.385587746,0.454261582
781.5239,0.125974743,0.237021648,0.272949165,0.294599898,0.340761101,0.377495422,0.443233887
782.0061,0.123202735,0.233804366,0.268627694,0.288586558,0.334738893,0.36875678,0.431172488
782.4882,0.122253844,0.231354816,0.264972365,0.282888811,0.328335441,0.3595839,0.418320299
782.9703,0.123200951,0.229602124,0.261961813,0.277619547,0.321769752,0.350249898,0.405038557
783.4525,0.126105724,0.228522172,0.259589865,0.272902868,0.315374474,0.341056495,0.391771322
783.9346,0.131002502,0.228157218,0.257888255,0.268876791,0.309553213,0.332311405,0.378999913
784.4167,0.137887288,0.228623528,0.256948253,0.265706228,0.30472532,0.324320633,0.367195444
784.8988,0.146708563,0.230102179,0.256925781,0.263595135,0.301276432,0.317389009,0.356783786
785.381,0.157363541,0.232815231,0.258029837,0.262779297,0.299521579,0.311823144,0.348129236
785.863,0.169699055,0.236988207,0.260494005,0.263503801,0.299690434,0.307930681,0.341530063
786.3452,0.18351451,0.242811385,0.2645335,0.265983103,0.30192629,0.306008423,0.337223227
786.8273,0.198567186,0.250401246,0.270305597,0.270363499,0.306297685,0.306321514,0.33538553
787.3094,0.214578074,0.259772398,0.27787195,0.276696389,0.312804402,0.309070277,0.336125717
787.7916,0.231235788,0.270813648,0.287176465,0.284925978,0.321377234,0.314349366,0.339468519
788.2737,0.248201833,0.283277069,0.29803115,0.294891717,0.331859573,0.322104128,0.345330825
788.7559,0.265109872,0.296775183,0.31011684,0.306333187,0.343984713,0.332094609,0.353501366
789.2379,0.281562652,0.310792697,0.322988793,0.318889174,0.35734829,0.343877011,0.363632571
