Wavenumber,Absorbance (I),Background (I0),T,A
5.44E+02,7.05E-01,2.38E+00,2.97E-01,0.527731492
5.45E+02,7.06E-01,2.38E+00,2.96E-01,0.528043072
5.45E+02,7.07E-01,2.39E+00,2.96E-01,0.528507195
5.46E+02,7.07E-01,2.39E+00,2.96E-01,0.52897332
5.46E+02,7.08E-01,2.39E+00,2.96E-01,0.529356015
5.47E+02,7.09E-01,2.40E+00,2.95E-01,0.52963062
5.47E+02,7.09E-01,2.40E+00,2.95E-01,0.529793989
5.48E+02,7.10E-01,2.41E+00,2.95E-01,0.529812056
5.48E+02,7.12E-01,2.41E+00,2.95E-01,0.529605538
5.49E+02,7.13E-01,2.41E+00,2.96E-01,0.529081163
5.49E+02,7.16E-01,2.42E+00,2.96E-01,0.528194714
5.50E+02,7.19E-01,2.42E+00,2.97E-01,0.527007934
5.50E+02,7.23E-01,2.43E+00,2.98E-01,0.525693612
5.51E+02,7.27E-01,2.43E+00,2.99E-01,0.524479581
5.51E+02,7.30E-01,2.44E+00,3.00E-01,0.523556652
5.52E+02,7.33E-01,2.44E+00,3.00E-01,0.522997578
5.52E+02,7.35E-01,2.45E+00,3.00E-01,0.522732779
5.53E+02,7.36E-01,2.45E+00,3.00E-01,0.522589174
5.53E+02,7.38E-01,2.46E+00,3.00E-01,0.522384214
5.53E+02,7.40E-01,2.46E+00,3.01E-01,0.522011398
5.54E+02,7.43E-01,2.47E+00,3.01E-01,0.521486129
5.54E+02,7.45E-01,2.47E+00,3.01E-01,0.520912359
5.55E+02,7.47E-01,2.48E+00,3.02E-01,0.520407555
5.55E+02,7.49E-01,2.48E+00,3.02E-01,0.520016997
5.56E+02,7.51E-01,2.48E+00,3.02E-01,0.519677628
5.56E+02,7.53E-01,2.49E+00,3.03E-01,0.519250518
5.57E+02,7.56E-01,2.49E+00,3.03E-01,0.518601857
5.57E+02,7.59E-01,2.50E+00,3.04E-01,0.517688224
5.58E+02,7.63E-01,2.51E+00,3.04E-01,0.516597255
5.58E+02,7.67E-01,2.51E+00,3.05E-01,0.51551325
5.59E+02,7.70E-01,2.52E+00,3.06E-01,0.514628693
5.59E+02,7.73E-01,2.52E+00,3.06E-01,0.51404863
5.60E+02,7.75E-01,2.53E+00,3.06E-01,0.513737545
5.60E+02,7.77E-01,2.54E+00,3.07E-01,0.513536409
5.61E+02,7.80E-01,2.54E+00,3.07E-01,0.513242835
5.61E+02,7.82E-01,2.55E+00,3.07E-01,0.512708701
5.62E+02,7.86E-01,2.55E+00,3.08E-01,0.511909402
5.62E+02,7.90E-01,2.56E+00,3.08E-01,0.51094459
5.63E+02,7.93E-01,2.57E+00,3.09E-01,0.509981426
5.63E+02,7.97E-01,2.57E+00,3.10E-01,0.509170565
5.64E+02,8.00E-01,2.58E+00,3.10E-01,0.508585055
5.64E+02,8.02E-01,2.58E+00,3.10E-01,0.508207952
5.65E+02,8.04E-01,2.59E+00,3.10E-01,0.507970084
5.65E+02,8.06E-01,2.59E+00,3.11E-01,0.507807994
5.66E+02,8.07E-01,2.60E+00,3.11E-01,0.507702594
5.66E+02,8.09E-01,2.60E+00,3.11E-01,0.507677526
5.66E+02,8.10E-01,2.61E+00,3.11E-01,0.507758401
5.67E+02,8.11E-01,2.61E+00,3.11E-01,0.507922317
5.67E+02,8.12E-01,2.62E+00,3.10E-01,0.508072179
5.68E+02,8.13E-01,2.62E+00,3.10E-01,0.508055726
5.68E+02,8.16E-01,2.63E+00,3.11E-01,0.50772865
5.69E+02,8.19E-01,2.63E+00,3.11E-01,0.507020294
5.69E+02,8.24E-01,2.64E+00,3.12E-01,0.505976018
5.70E+02,8.28E-01,2.65E+00,3.13E-01,0.504738232
5.70E+02,8.33E-01,2.66E+00,3.14E-01,0.503488687
5.71E+02,8.38E-01,2.66E+00,3.15E-01,0.502373259
5.71E+02,8.42E-01,2.67E+00,3.15E-01,0.501453089
5.72E+02,8.45E-01,2.68E+00,3.16E-01,0.500700455
5.72E+02,8.49E-01,2.68E+00,3.16E-01,0.500037729
5.73E+02,8.52E-01,2.69E+00,3.17E-01,0.49939204
5.73E+02,8.55E-01,2.69E+00,3.17E-01,0.49873539
5.74E+02,8.57E-01,2.70E+00,3.18E-01,0.498089985
5.74E+02,8.59E-01,2.70E+00,3.18E-01,0.497501577
5.75E+02,8.61E-01,2.70E+00,3.18E-01,0.496999957
5.75E+02,8.63E-01,2.71E+00,3.19E-01,0.496577064
5.76E+02,8.65E-01,2.71E+00,3.19E-01,0.496187964
5.76E+02,8.67E-01,2.71E+00,3.19E-01,0.495782589
5.77E+02,8.69E-01,2.72E+00,3.20E-01,0.49533356
5.77E+02,8.72E-01,2.73E+00,3.20E-01,0.494850151
5.78E+02,8.75E-01,2.73E+00,3.20E-01,0.494357633
5.78E+02,8.78E-01,2.74E+00,3.21E-01,0.493865266
5.79E+02,8.81E-01,2.74E+00,3.21E-01,0.493338166
5.79E+02,8.84E-01,2.75E+00,3.22E-01,0.492699372
5.80E+02,8.87E-01,2.75E+00,3.22E-01,0.491866133
5.80E+02,8.90E-01,2.76E+00,3.23E-01,0.490801015
5.80E+02,8.94E-01,2.76E+00,3.24E-01,0.489549835
5.81E+02,8.98E-01,2.77E+00,3.25E-01,0.488240035
5.81E+02,9.03E-01,2.77E+00,3.26E-01,0.487032368
5.82E+02,9.07E-01,2.78E+00,3.27E-01,0.486051435
5.82E+02,9.11E-01,2.78E+00,3.27E-01,0.485330645
5.83E+02,9.14E-01,2.79E+00,3.27E-01,0.484799419
5.83E+02,9.17E-01,2.80E+00,3.28E-01,0.484320652
5.84E+02,9.20E-01,2.80E+00,3.28E-01,0.483763935
5.84E+02,9.23E-01,2.81E+00,3.29E-01,0.483069783
5.85E+02,9.25E-01,2.81E+00,3.29E-01,0.482279136
5.85E+02,9.28E-01,2.81E+00,3.30E-01,0.481504697
5.86E+02,9.30E-01,2.81E+00,3.30E-01,0.480872024
5.86E+02,9.31E-01,2.82E+00,3.31E-01,0.480451081
5.87E+02,9.32E-01,2.82E+00,3.31E-01,0.480221104
5.87E+02,9.33E-01,2.82E+00,3.31E-01,0.480088018
5.88E+02,9.35E-01,2.82E+00,3.31E-01,0.479930025
5.88E+02,9.37E-01,2.83E+00,3.31E-01,0.479657896
5.89E+02,9.40E-01,2.83E+00,3.32E-01,0.479251328
5.89E+02,9.44E-01,2.84E+00,3.32E-01,0.478751598
5.90E+02,9.47E-01,2.85E+00,3.32E-01,0.478224924
5.90E+02,9.51E-01,2.86E+00,3.33E-01,0.477717207
5.91E+02,9.55E-01,2.86E+00,3.33E-01,0.477232713
5.91E+02,9.58E-01,2.87E+00,3.34E-01,0.476743232
5.92E+02,9.62E-01,2.88E+00,3.34E-01,0.476222967
5.92E+02,9.65E-01,2.89E+00,3.34E-01,0.475679256
5.93E+02,9.69E-01,2.89E+00,3.35E-01,0.475158745
5.93E+02,9.73E-01,2.90E+00,3.35E-01,0.474719295
5.93E+02,9.76E-01,2.91E+00,3.35E-01,0.474387207
5.94E+02,9.79E-01,2.92E+00,3.36E-01,0.474126392
5.94E+02,9.83E-01,2.93E+00,3.36E-01,0.473840511
5.95E+02,9.86E-01,2.93E+00,3.36E-01,0.473416132
5.95E+02,9.90E-01,2.94E+00,3.37E-01,0.472783252
5.96E+02,9.93E-01,2.94E+00,3.37E-01,0.471961807
5.96E+02,9.97E-01,2.95E+00,3.38E-01,0.471064642
